symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
wheezing,rapid breathing,fatigue,chest tightness,trouble sleeping,coughing,short breaths,,asthma
increased thirst,slow healing,weight loss,fatigue,tingling in feet,frequent urination,hunger,blurred vision,diabetes
fever,shortness of breath,chills,rapid breathing,cough,chest pain,fatigue,phlegm,pneumonia
increased thirst,tingling in feet,blurred vision,hunger,slow healing,frequent urination,fatigue,weight loss,diabetes
hair loss,weight gain,slow heart rate,memory problems,depression,muscle weakness,dry skin,,thyroid
body pain,high temperature,chills,loss of appetite,fatigue,headache,weakness,sore throat,fever
dizziness,irregular heartbeat,jaw pain,fatigue,nausea,cold sweat,shortness of breath,chest pain,heart attack
dry skin,fatigue,weight gain,muscle weakness,memory problems,depression,hair loss,slow heart rate,thyroid
body pain,chills,weakness,headache,high temperature,loss of appetite,sore throat,,fever
headache,fever,weakness,body ache,dry cough,abdominal pain,loss of appetite,,typhoid
bleeding,fatigue,loss of appetite,lump,pain,weakness,weight loss,night sweats,cancer
night sweats,weight loss,fatigue,bleeding,weakness,pain,lump,,cancer
chest pain,jaw pain,left arm pain,fatigue,irregular heartbeat,dizziness,shortness of breath,,heart attack
chills,fatigue,vomiting,sweating,nausea,rapid heartbeat,fever,muscle pain,malaria
headache,vision issues,sensitivity to light,nausea,sound sensitivity,fatigue,neck pain,,migraine
coughing,breathlessness,fatigue,wheezing,trouble sleeping,rapid breathing,chest tightness,,asthma
nausea,irregular heartbeat,chest pain,left arm pain,jaw pain,dizziness,fatigue,,heart attack
headache,fatigue,chills,vomiting,muscle pain,rapid heartbeat,sweating,nausea,malaria
dizziness,cold sweat,shortness of breath,left arm pain,jaw pain,chest pain,nausea,,heart attack
lump,skin changes,weight loss,bleeding,fatigue,pain,night sweats,,cancer
loss of appetite,lump,night sweats,bleeding,weight loss,skin changes,pain,,cancer
wheezing,rapid breathing,short breaths,trouble sleeping,chest tightness,coughing,fatigue,,asthma
nausea,shortness of breath,fatigue,left arm pain,chest pain,irregular heartbeat,jaw pain,cold sweat,heart attack
muscle weakness,dry skin,slow heart rate,hair loss,fatigue,memory problems,weight gain,,thyroid
vomiting,body ache,abdominal pain,dry cough,weakness,fever,loss of appetite,,typhoid
high temperature,headache,sweating,body pain,loss of appetite,weakness,fatigue,,fever
skin changes,fatigue,night sweats,weight loss,bleeding,pain,loss of appetite,weakness,cancer
rapid breathing,chest pain,phlegm,shortness of breath,fatigue,chills,cough,,pneumonia
loss of appetite,chills,body pain,sore throat,high temperature,weakness,fatigue,sweating,fever
fatigue,chills,fever,cough,chest pain,rapid breathing,shortness of breath,phlegm,pneumonia
headache,muscle pain,fever,vomiting,nausea,chills,fatigue,,malaria
chills,muscle pain,vomiting,sweating,nausea,headache,fatigue,rapid heartbeat,malaria
chest pain,rapid breathing,fever,fatigue,shortness of breath,cough,phlegm,,pneumonia
headache,weakness,body pain,sore throat,loss of appetite,fatigue,high temperature,chills,fever
fatigue,headache,vision issues,neck pain,sensitivity to light,vomiting,nausea,sound sensitivity,migraine
night sweats,weight loss,bleeding,fatigue,pain,lump,loss of appetite,skin changes,cancer
depression,slow heart rate,muscle weakness,hair loss,weight gain,dry skin,fatigue,memory problems,thyroid
phlegm,chills,fatigue,cough,fever,chest pain,rapid breathing,,pneumonia
vision issues,sensitivity to light,headache,fatigue,vomiting,nausea,sound sensitivity,neck pain,migraine
trouble sleeping,short breaths,chest tightness,rapid breathing,coughing,wheezing,fatigue,,asthma
dry cough,fever,headache,abdominal pain,loss of appetite,vomiting,body ache,,typhoid
dizziness,left arm pain,nausea,cold sweat,shortness of breath,irregular heartbeat,chest pain,,heart attack
trouble sleeping,chest tightness,coughing,breathlessness,wheezing,short breaths,rapid breathing,,asthma
pain,lump,fatigue,loss of appetite,weight loss,bleeding,weakness,,cancer
fatigue,sweating,rapid heartbeat,nausea,fever,muscle pain,vomiting,,malaria
headache,vomiting,sweating,muscle pain,rapid heartbeat,fatigue,nausea,fever,malaria
fatigue,vision issues,nausea,headache,sound sensitivity,neck pain,vomiting,,migraine
chest pain,phlegm,rapid breathing,cough,fever,fatigue,shortness of breath,chills,pneumonia
chills,shortness of breath,fatigue,cough,chest pain,rapid breathing,fever,phlegm,pneumonia
nausea,jaw pain,cold sweat,irregular heartbeat,shortness of breath,dizziness,left arm pain,fatigue,heart attack
weakness,fever,dry cough,constipation,vomiting,body ache,loss of appetite,abdominal pain,typhoid
fatigue,headache,vomiting,nausea,vision issues,sound sensitivity,neck pain,sensitivity to light,migraine
dry skin,slow heart rate,muscle weakness,memory problems,hair loss,weight gain,fatigue,,thyroid
fatigue,sensitivity to light,headache,vision issues,nausea,sound sensitivity,neck pain,vomiting,migraine
fatigue,muscle weakness,hair loss,depression,slow heart rate,dry skin,memory problems,,thyroid
headache,fever,body ache,weakness,dry cough,abdominal pain,constipation,loss of appetite,typhoid
chest tightness,coughing,short breaths,trouble sleeping,breathlessness,wheezing,rapid breathing,fatigue,asthma
blurred vision,slow healing,hunger,tingling in feet,fatigue,frequent urination,weight loss,increased thirst,diabetes
fatigue,breathlessness,trouble sleeping,chest tightness,wheezing,short breaths,rapid breathing,coughing,asthma
dry skin,muscle weakness,fatigue,hair loss,depression,memory problems,weight gain,,thyroid
memory problems,hair loss,muscle weakness,depression,weight gain,slow heart rate,fatigue,dry skin,thyroid
fever,dry cough,loss of appetite,headache,abdominal pain,weakness,constipation,,typhoid
headache,high temperature,weakness,loss of appetite,sweating,body pain,sore throat,,fever
lump,skin changes,weight loss,loss of appetite,fatigue,pain,weakness,,cancer
breathlessness,wheezing,trouble sleeping,coughing,rapid breathing,fatigue,chest tightness,short breaths,asthma
increased thirst,hunger,fatigue,slow healing,frequent urination,weight loss,blurred vision,,diabetes
fatigue,rapid breathing,phlegm,chills,chest pain,shortness of breath,fever,,pneumonia
chest tightness,rapid breathing,fatigue,coughing,short breaths,breathlessness,trouble sleeping,wheezing,asthma
weight loss,loss of appetite,lump,pain,weakness,bleeding,night sweats,skin changes,cancer
fatigue,increased thirst,slow healing,tingling in feet,hunger,blurred vision,weight loss,frequent urination,diabetes
phlegm,cough,chest pain,rapid breathing,fatigue,chills,fever,shortness of breath,pneumonia
fatigue,breathlessness,chest tightness,rapid breathing,trouble sleeping,short breaths,coughing,wheezing,asthma
constipation,headache,body ache,vomiting,weakness,fever,abdominal pain,loss of appetite,typhoid
chest tightness,breathlessness,short breaths,coughing,fatigue,trouble sleeping,wheezing,rapid breathing,asthma
chills,muscle pain,rapid heartbeat,nausea,headache,sweating,fatigue,vomiting,malaria
fatigue,chest tightness,coughing,trouble sleeping,breathlessness,rapid breathing,short breaths,,asthma
breathlessness,trouble sleeping,short breaths,chest tightness,wheezing,rapid breathing,fatigue,coughing,asthma
muscle weakness,dry skin,hair loss,depression,memory problems,slow heart rate,fatigue,weight gain,thyroid
dry cough,constipation,headache,fever,weakness,body ache,loss of appetite,,typhoid
rapid breathing,short breaths,coughing,breathlessness,trouble sleeping,chest tightness,wheezing,,asthma
slow heart rate,dry skin,fatigue,depression,hair loss,muscle weakness,weight gain,,thyroid
loss of appetite,fatigue,night sweats,bleeding,weight loss,lump,weakness,,cancer
shortness of breath,chest pain,jaw pain,irregular heartbeat,fatigue,cold sweat,nausea,left arm pain,heart attack
coughing,breathlessness,chest tightness,fatigue,wheezing,rapid breathing,trouble sleeping,,asthma
jaw pain,dizziness,cold sweat,left arm pain,shortness of breath,fatigue,nausea,,heart attack
fever,chills,chest pain,fatigue,shortness of breath,cough,rapid breathing,phlegm,pneumonia
hair loss,fatigue,slow heart rate,depression,muscle weakness,memory problems,weight gain,dry skin,thyroid
coughing,breathlessness,wheezing,fatigue,rapid breathing,trouble sleeping,short breaths,chest tightness,asthma
weight loss,lump,night sweats,pain,bleeding,fatigue,weakness,,cancer
neck pain,vision issues,headache,vomiting,nausea,fatigue,sound sensitivity,sensitivity to light,migraine
shortness of breath,cough,chest pain,phlegm,fatigue,fever,rapid breathing,chills,pneumonia
tingling in feet,weight loss,blurred vision,hunger,slow healing,increased thirst,frequent urination,fatigue,diabetes
fatigue,chest tightness,rapid breathing,coughing,short breaths,wheezing,breathlessness,,asthma
hair loss,memory problems,dry skin,muscle weakness,slow heart rate,weight gain,depression,fatigue,thyroid
cold sweat,left arm pain,dizziness,irregular heartbeat,nausea,jaw pain,shortness of breath,fatigue,heart attack
headache,fatigue,rapid heartbeat,sweating,muscle pain,vomiting,fever,nausea,malaria
breathlessness,coughing,wheezing,chest tightness,trouble sleeping,fatigue,rapid breathing,,asthma
night sweats,lump,bleeding,loss of appetite,skin changes,weight loss,fatigue,,cancer
increased thirst,frequent urination,hunger,weight loss,blurred vision,slow healing,fatigue,,diabetes
cough,chills,shortness of breath,fatigue,fever,rapid breathing,chest pain,phlegm,pneumonia
weight loss,fatigue,slow healing,blurred vision,frequent urination,hunger,increased thirst,tingling in feet,diabetes
rapid breathing,wheezing,trouble sleeping,fatigue,breathlessness,chest tightness,coughing,short breaths,asthma
cough,fatigue,fever,rapid breathing,chest pain,phlegm,shortness of breath,chills,pneumonia
fatigue,cough,fever,rapid breathing,phlegm,chills,shortness of breath,chest pain,pneumonia
vomiting,chills,sweating,fever,rapid heartbeat,muscle pain,headache,,malaria
neck pain,vision issues,vomiting,sensitivity to light,sound sensitivity,fatigue,nausea,headache,migraine
increased thirst,slow healing,fatigue,tingling in feet,weight loss,hunger,frequent urination,,diabetes
memory problems,muscle weakness,dry skin,weight gain,fatigue,depression,slow heart rate,hair loss,thyroid
hair loss,muscle weakness,memory problems,depression,slow heart rate,fatigue,dry skin,,thyroid
dizziness,fatigue,cold sweat,chest pain,nausea,jaw pain,shortness of breath,irregular heartbeat,heart attack
sore throat,sweating,high temperature,loss of appetite,body pain,fatigue,weakness,,fever
rapid breathing,fever,chest pain,shortness of breath,phlegm,fatigue,chills,cough,pneumonia
fatigue,breathlessness,trouble sleeping,short breaths,rapid breathing,chest tightness,wheezing,coughing,asthma
headache,vision issues,vomiting,fatigue,sensitivity to light,nausea,neck pain,sound sensitivity,migraine
chills,fatigue,fever,shortness of breath,rapid breathing,phlegm,chest pain,cough,pneumonia
sound sensitivity,sensitivity to light,neck pain,nausea,vomiting,vision issues,headache,fatigue,migraine
left arm pain,shortness of breath,cold sweat,nausea,jaw pain,irregular heartbeat,fatigue,chest pain,heart attack
nausea,shortness of breath,dizziness,cold sweat,fatigue,irregular heartbeat,chest pain,,heart attack
blurred vision,fatigue,frequent urination,weight loss,increased thirst,hunger,slow healing,,diabetes
vomiting,sensitivity to light,headache,fatigue,vision issues,sound sensitivity,nausea,neck pain,migraine
cough,rapid breathing,fever,phlegm,shortness of breath,fatigue,chest pain,chills,pneumonia
vomiting,muscle pain,sweating,fever,chills,rapid heartbeat,fatigue,,malaria
headache,weakness,sore throat,body pain,high temperature,chills,sweating,,fever
slow healing,fatigue,hunger,frequent urination,increased thirst,tingling in feet,weight loss,,diabetes
muscle pain,fatigue,fever,sweating,vomiting,chills,headache,rapid heartbeat,malaria
sore throat,body pain,weakness,chills,high temperature,headache,sweating,loss of appetite,fever
rapid breathing,shortness of breath,phlegm,cough,fever,fatigue,chest pain,,pneumonia
vision issues,fatigue,nausea,sensitivity to light,vomiting,neck pain,sound sensitivity,headache,migraine
chills,fatigue,rapid heartbeat,sweating,muscle pain,nausea,vomiting,headache,malaria
sweating,loss of appetite,sore throat,headache,body pain,high temperature,chills,fatigue,fever
sensitivity to light,sound sensitivity,vomiting,vision issues,headache,fatigue,nausea,,migraine
abdominal pain,body ache,loss of appetite,constipation,fever,vomiting,weakness,headache,typhoid
weight loss,slow healing,blurred vision,hunger,frequent urination,fatigue,increased thirst,tingling in feet,diabetes
rapid heartbeat,muscle pain,chills,vomiting,nausea,sweating,fatigue,,malaria
short breaths,coughing,trouble sleeping,rapid breathing,fatigue,breathlessness,chest tightness,wheezing,asthma
headache,muscle pain,fever,vomiting,chills,sweating,rapid heartbeat,,malaria
weight loss,fatigue,increased thirst,frequent urination,blurred vision,slow healing,hunger,,diabetes
fatigue,rapid breathing,fever,cough,shortness of breath,chest pain,chills,,pneumonia
dizziness,jaw pain,fatigue,chest pain,cold sweat,left arm pain,irregular heartbeat,,heart attack
rapid breathing,breathlessness,fatigue,short breaths,wheezing,coughing,chest tightness,trouble sleeping,asthma
chills,weakness,fatigue,headache,body pain,sore throat,sweating,,fever
sound sensitivity,headache,vomiting,nausea,vision issues,neck pain,fatigue,,migraine
high temperature,sweating,body pain,chills,loss of appetite,weakness,fatigue,sore throat,fever
sound sensitivity,nausea,fatigue,sensitivity to light,neck pain,headache,vomiting,,migraine
sweating,chills,body pain,loss of appetite,weakness,high temperature,fatigue,,fever
muscle weakness,fatigue,weight gain,depression,hair loss,slow heart rate,dry skin,,thyroid
weakness,pain,skin changes,night sweats,lump,weight loss,fatigue,,cancer
